No.,Title,Feels,Run Time,Original Release Date
1,Will Ferrell,Awkward,46:16:00,November 18, 2018
2,Kristen Bell,Supercharged,48:06:00,November 25, 2018
3,Bill Burr,Great,51:17:00,December 2, 2018
4,Dax Shepard,Very optimistic,48:54:00,December 9, 2018
5,Nick Offerman and Megan Mullally,Ambivalent,49:30:00,December 16, 2018
5.5,Megan Mullally,Really Good,49:30:00,December 16, 2018
6,Wanda Sykes,Somewhat trapped,47:08:00,December 23, 2018
7,Pete Holmes,Frustrated but honored,47:33:00,December 30, 2018
8,Marc Maron,Nervous,46:36:00,January 6, 2019
9,Adam Sandler,Stunned,50:33:00,January 13, 2019
10,Ron Funches,Grateful and excited,46:15:00,January 20, 2019
11,Dana Carvey,Masculine,55:48:00,January 27, 2019
12,David Sedaris,Apprehensive,50:58:00,February 3, 2019
13,Stephen Colbert,Cool,54:51:00,February 10, 2019
14,Timothy Olyphant,Meh,1:00:37,February 17, 2019
15,Jeff Goldblum,Well, I feel, let me be, uh, truthful, and I feel, well, to the extent that we're friends, I feel we have a deep connection, but I wish we'd spend more time together. I'm available for your friendship however time-consuming, or, uh, any-any aspect of it. We've been friends in the sense that we have, in the way that we have on these shows and seeing each other here and there. You've, of course, I've enrolled you in, I-I finagled you into being part of that show, that movie, little movie that I did and you were so sweet to do that and then, what else? Oh we did a, we did a, we were there at the voi-, at some voice over we were doing. It was one of your things, yes, yes, yes. So, and then, I think we- did I have a date with you, or just ran into you at the Soho House? That was lovely. And I've always said, yes, let's- and we've exchanged information, but we've never availed ourselves of it. I've always said let's come over to my house and let's do many things. I do all, all manner of things, so I-I, I-I love being your friend however it does or doesn't pan out. But I tell you again, I'm available for the deepest, closest, and most time-consuming kind of friendship.,59:36:00,February 24, 2019
16,Lisa Kudrow,Tired,1:01:55,March 3, 2019
17,Thomas Middleditch,Sizzlin',48:58:00,March 10, 2019
17.5,Ben Schwartz,Curious,48:58:00,March 10, 2019
18,Michelle Obama,Cautiously optimistic,56:18:00,March 17, 2019
19,Ray Romano,Good (with an exception),50:10:00,March 24, 2019
20,Ben Stiller,Excited yet not holding my breath,56:32:00,March 31, 2019
21,Nicole Byer,Excited!,51:49:00,April 7, 2019
22,Patton Oswalt,Anxious,1:02:55,April 14, 2019
23,Tig Notaro,Glad,1:02:13,April 21, 2019
24,Robert Caro,Cautiously optimistic,56:14:00,April 28, 2019
25,Jimmy Kimmel,Sexually excited,58:15:00,May 5, 2019
26,Bill Hader,Great,59:10:00,May 12, 2019
27,Howard Stern,Badly (about not being Conan O'Brien's friend),1:30:41,May 19, 2019
28,Bob Newhart,Anxious,1:02:15,May 26, 2019
29,Hannah Gadsby,Confused,49:22:00,June 2, 2019
30,Martin Short,Ashamed,57:42:00,June 10, 2019
31,Lin-Manuel Miranda,Great,1:05:11,June 16, 2019
32,Billy Eichner,Mixed,1:02:46,June 24, 2019
33,Mila Kunis,Indifferent,1:02:56,July 1, 2019
34,Andy Richter,Just fine,58:00:00,July 8, 2019
35,Kumail Nanjiani,Apologetic,1:05:55,July 15, 2019
36,Julia Louis-Dreyfus,A tad hopeful (but not really),1:01:52,July 22, 2019
40,David Letterman,My connection to Conan is endless admiration.,1:16:50,October 7, 2019
41,Tina Fey,Good,50:58:00,October 14, 2019
42,John Oliver,Cautiously optimistic,52:34:00,October 21, 2019
43,Zach Galifianakis,Cautious,59:30:00,October 28, 2019
44,Neil Young,Good,54:04:00,November 4, 2019
45,Paul Rudd,Excited,1:04:40,November 11, 2019
46,Ellen DeGeneres,Honored,50:44:00,November 18, 2019
47,Eric Idle,Moderately aroused,53:28:00,November 25, 2019
48,Hillary Clinton,Great (but a little apprehensive),58:00:00,December 2, 2019
48.5,Chelsea Clinton,,,
49,Jack Black,Shitty,1:01:12,December 9, 2019
50,John Mulaney,Falsely modest,1:01:51,December 16, 2019
51,Malcolm Gladwell,Pressured,54:22:00,December 23, 2019
52,Al Franken,I'm already a fucking friend of Conan's,58:04:00,December 30, 2019
53,Charles Barkley,Great,1:02:21,January 6, 2020
54,Nikki Glaser,Overwhelmed,57:53:00,January 13, 2020
55,Eugene Levy,Absolutely delighted and Flattered and honored (that you would consider me your friend),1:00:48,January 20, 2020
,Catherine O'Hara,,,
56,Jesse Eisenberg,Desperate,54:00:00,January 27, 2020
57,Sarah Silverman,Grateful,56:22:00,February 3, 2020
58,Keegan-Michael Key,Overwhelmed,58:21:00,February 10, 2020
59,Judd Apatow,Does not feel hopeful,1:02:49,February 17, 2020
60,Jim Gaffigan,Like Nikki Glaser felt,59:27:00,February 24, 2020
61,Ali Wong,Very new,1:08:20,March 2, 2020
62,Paul Reubens,Fantastic,1:07:09,March 9, 2020
62.5,Andy Daly,Conveniently located,1:05:19,March 13, 2020
63,Will Arnett,Pretty put out,1:03:28,March 16, 2020
64,Whitney Cummings,Stressed out,57:29:00,March 23, 2020
65,Steve Coogan,Quietly optimistic,1:03:44,March 30, 2020
66,D'Arcy Carden,Hopeful,1:01:43,April 6, 2020
67,Kevin Nealon,Confused that he's considered,1:01:14,April 13, 2020
